season,round,race_id,constructor_id,constructor_name,constructor_race_id,season_total_rounds,season_progress,season_phase,regulation_era,constructor_entry_count,constructor_avg_finish,constructor_finish_std,constructor_avg_grid,constructor_grid_std,constructor_avg_qualifying,constructor_qualifying_std,constructor_total_points,constructor_avg_points,constructor_avg_positions_gained,constructor_finished_rate,constructor_mechanical_dnf_rate,constructor_crash_dnf_rate,constructor_other_dnf_rate,single_car_entry,constructor_avg_finish_expanding_prior,constructor_avg_finish_last5_prior,constructor_avg_finish_last3_prior,constructor_finish_std_expanding_prior,constructor_finish_std_last5_prior,constructor_finish_std_last3_prior,constructor_avg_grid_expanding_prior,constructor_avg_grid_last5_prior,constructor_avg_grid_last3_prior,constructor_grid_std_expanding_prior,constructor_grid_std_last5_prior,constructor_grid_std_last3_prior,constructor_avg_qualifying_expanding_prior,constructor_avg_qualifying_last5_prior,constructor_avg_qualifying_last3_prior,constructor_qualifying_std_expanding_prior,constructor_qualifying_std_last5_prior,constructor_qualifying_std_last3_prior,constructor_total_points_expanding_prior,constructor_total_points_last5_prior,constructor_total_points_last3_prior,constructor_avg_points_expanding_prior,constructor_avg_points_last5_prior,constructor_avg_points_last3_prior,constructor_avg_positions_gained_expanding_prior,constructor_avg_positions_gained_last5_prior,constructor_avg_positions_gained_last3_prior,constructor_finished_rate_expanding_prior,constructor_finished_rate_last5_prior,constructor_finished_rate_last3_prior,constructor_mechanical_dnf_rate_expanding_prior,constructor_mechanical_dnf_rate_last5_prior,constructor_mechanical_dnf_rate_last3_prior,constructor_crash_dnf_rate_expanding_prior,constructor_crash_dnf_rate_last5_prior,constructor_crash_dnf_rate_last3_prior,constructor_other_dnf_rate_expanding_prior,constructor_other_dnf_rate_last5_prior,constructor_other_dnf_rate_last3_prior,constructor_has_prior_history,constructor_finish_trend_last3_vs_expanding,constructor_grid_trend_last3_vs_expanding,constructor_qualifying_trend_last3_vs_expanding,constructor_points_trend_last3_vs_expanding,constructor_finish_momentum_last3_vs_last5,constructor_points_momentum_last3_vs_last5,car_performance_score_raw,car_performance_score,car_performance_tier,car_score_finish_component,car_score_grid_component,car_score_qualifying_component,car_score_points_component,car_score_reliability_component,car_score_mechanical_component
2019,1,2019_R1,alfa,Alfa Romeo,2019_R1_alfa,21,0.047619047619047616,early,2014_2021_hybrid,2,11.5,4.949747468305833,11.5,3.5355339059327378,11.5,3.5355339059327378,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2019,2,2019_R2,alfa,Alfa Romeo,2019_R2_alfa,21,0.09523809523809523,early,2014_2021_hybrid,2,9.0,2.8284271247461903,12.0,5.656854249492381,12.5,4.949747468305833,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0,11.5,11.5,11.5,4.949747468305833,4.949747468305833,4.949747468305833,11.5,11.5,11.5,3.5355339059327378,3.5355339059327378,3.5355339059327378,11.5,11.5,11.5,3.5355339059327378,3.5355339059327378,3.5355339059327378,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17921343974346016,69.22636676454567,Upper,-0.10476397151990259,-0.12190276179956003,-0.09432802847314198,-0.5237722027147824,1.2260734418341863,0.6939741611339615
2019,3,2019_R3,alfa,Alfa Romeo,2019_R3_alfa,21,0.14285714285714285,early,2014_2021_hybrid,2,12.0,4.242640687119285,16.0,4.242640687119285,13.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0,10.25,10.25,10.25,3.8890872965260117,3.8890872965260117,3.8890872965260117,11.75,11.75,11.75,4.596194077712559,4.596194077712559,4.596194077712559,12.0,12.0,12.0,4.242640687119286,4.242640687119286,4.242640687119286,5.0,5.0,5.0,2.5,2.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.21873349845093007,69.9639790112655,Upper,0.18738929347190605,-0.17237772219260153,-0.19118127356755715,-0.4314769099743148,1.2260734418341863,0.6939741611339615
2019,4,2019_R4,alfa,Alfa Romeo,2019_R4_alfa,21,0.19047619047619047,early,2014_2021_hybrid,2,11.0,1.4142135623730951,8.5,12.020815280171307,13.5,7.7781745930520225,1.0,0.5,-2.5,1.0,0.0,0.0,0.0,0,10.833333333333334,10.833333333333334,10.833333333333334,4.006938426723769,4.006938426723769,4.006938426723769,13.166666666666666,13.166666666666666,13.166666666666666,4.478342947514801,4.478342947514801,4.478342947514801,12.333333333333334,12.333333333333334,12.333333333333334,2.8284271247461903,2.8284271247461903,2.8284271247461903,4.0,4.0,4.0,2.0,2.0,2.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12219565033534831,68.16217250158607,Midfield,0.051051103142395214,-0.4584024977531699,-0.2557501036305007,-0.5237722027147824,1.2260734418341863,0.6939741611339615
2019,5,2019_R5,alfa,Alfa Romeo,2019_R5_alfa,21,0.23809523809523808,early,2014_2021_hybrid,2,15.0,1.4142135623730951,16.0,2.8284271247461903,16.0,2.8284271247461903,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,10.875,10.875,10.666666666666666,3.3587572106361008,3.3587572106361008,2.82842712474619,12.0,12.0,12.166666666666666,6.363961030678928,6.363961030678928,7.306770072260991,12.625,12.625,13.0,4.065863991822648,4.065863991822648,4.242640687119285,3.25,3.25,3.0,1.625,1.625,1.5,1.125,1.125,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.20833333333333393,-0.16666666666666607,-0.375,-0.25,0.20833333333333393,-0.25,0.13887767985879956,68.47353006731544,Midfield,0.04131266097600173,-0.22285268258564303,-0.31224782993557615,-0.5929936722701331,1.2260734418341863,0.6939741611339615
2019,6,2019_R6,alfa,Alfa Romeo,2019_R6_alfa,21,0.2857142857142857,early,2014_2021_hybrid,2,18.0,1.4142135623730951,16.0,2.8284271247461903,14.5,0.7071067811865476,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0,11.7,11.7,12.666666666666666,2.9698484809834995,2.9698484809834995,2.3570226039551585,12.8,12.8,13.5,5.656854249492381,5.656854249492381,6.3639610306789285,13.3,13.3,14.166666666666666,3.818376618407357,3.818376618407357,3.5355339059327378,2.6,2.6,1.0,1.3,1.3,0.5,1.1,1.1,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.9666666666666668,-0.6999999999999993,-0.8666666666666654,-1.6,-0.9666666666666668,-1.6,0.04803020497361771,66.77793010490404,Midfield,-0.1515084939185918,-0.384372555843376,-0.44299971081303674,-0.6529856125514371,1.2260734418341863,0.6939741611339615
2019,7,2019_R7,alfa,Alfa Romeo,2019_R7_alfa,21,0.3333333333333333,early,2014_2021_hybrid,2,14.0,1.4142135623730951,14.0,2.8284271247461903,15.0,2.8284271247461903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12.75,13.0,14.666666666666666,2.710575994548432,2.262741699796952,1.4142135623730951,13.333333333333334,13.7,13.5,5.185449728701348,5.5154328932550705,5.892556509887896,13.5,13.9,14.666666666666666,3.2998316455372216,3.2526911934581184,3.771236166328254,2.1666666666666665,1.8,0.3333333333333333,1.0833333333333333,0.9,0.16666666666666666,0.5833333333333334,0.7,-1.1666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.916666666666666,-0.16666666666666607,-1.166666666666666,-1.8333333333333333,-1.666666666666666,-1.4666666666666668,-0.06457135857839941,64.67630639805286,Midfield,-0.455347889510073,-0.5660824132583251,-0.5592236049263349,-0.7268218467438111,1.2260734418341863,0.6939741611339615
2019,8,2019_R8,alfa,Alfa Romeo,2019_R8_alfa,21,0.38095238095238093,middle,2014_2021_hybrid,2,11.5,6.363961030678928,11.0,1.4142135623730951,11.0,1.4142135623730951,6.0,3.0,-0.5,1.0,0.0,0.0,0.0,0,12.928571428571429,14.0,15.666666666666666,2.525381361380527,1.9798989873223327,1.4142135623730951,13.428571428571429,14.1,15.333333333333334,4.848732213850611,4.949747468305833,2.8284271247461903,13.714285714285714,14.4,15.166666666666666,3.2324881425670746,2.82842712474619,2.1213203435596424,1.8571428571428572,0.6,0.0,0.9285714285714286,0.3,0.0,0.5,0.1,-0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.7380952380952372,-1.904761904761905,-1.4523809523809526,-1.8571428571428572,-1.666666666666666,-0.6,-0.15158638274594766,63.052236253074184,Midfield,-0.6890705015035199,-0.6468423498871916,-0.6560768500207501,-0.8375761980323722,1.2260734418341863,0.6939741611339615
2019,9,2019_R9,alfa,Alfa Romeo,2019_R9_alfa,21,0.42857142857142855,middle,2014_2021_hybrid,2,9.5,0.7071067811865476,6.5,0.7071067811865476,7.5,0.7071067811865476,3.0,1.5,-3.0,1.0,0.0,0.0,0.0,0,12.75,13.9,14.5,3.005203820042827,2.4041630560342617,3.064129385141706,13.125,13.1,13.666666666666666,4.419417382415922,4.384062043356595,2.357022603955159,13.375,14.0,13.5,3.005203820042827,3.111269837220809,1.6499158227686108,2.375,1.4,2.0,1.1875,0.7,1.0,0.375,-0.8,-0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.75,-0.5416666666666661,-0.125,-0.375,-0.5999999999999996,0.6000000000000001,-0.08882122723937823,64.22370079242646,Midfield,-0.6656982403041753,-0.4449425083150255,-0.5785942539452179,-0.7637399638399981,1.2260734418341863,0.6939741611339615
2019,10,2019_R10,alfa,Alfa Romeo,2019_R10_alfa,21,0.47619047619047616,middle,2014_2021_hybrid,2,13.0,7.0710678118654755,11.5,0.7071067811865476,11.5,0.7071067811865476,4.0,2.0,-1.5,0.5,0.0,0.5,0.0,0,12.38888888888889,13.6,11.666666666666666,2.7498597046143516,2.262741699796952,2.82842712474619,12.38888888888889,12.7,10.5,4.006938426723769,2.121320343559643,1.6499158227686108,12.722222222222221,12.8,11.166666666666666,2.7498597046143516,1.6970562748477143,1.6499158227686108,2.4444444444444446,1.8,3.0,1.2222222222222223,0.9,1.5,0.0,-0.9,-1.1666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7222222222222232,1.8888888888888893,1.5555555555555554,0.5555555555555554,1.9333333333333336,1.2,-0.01878078964776414,65.53095301377564,Midfield,-0.595581456706141,-0.3641825716861591,-0.34614646571862157,-0.7268218467438111,1.2260734418341863,0.6939741611339615
